vehicle_id,x,y,lane_id,speed,type,message_id,event_type,event_time,x_jitter,y_jitter,main_zone,sub_zone,event_seconds,event_weight,vehicle_weight,speed_norm,priority_score,forwarder_rank_scaf,is_forwarder_scaf,ml_pred,ml_prob,is_forwarder
NBSKMS_Nightbus_2,7446.88,6512.27,-32924#0_0,5.0,bus,0e43cee1-0b31-4c77-b058-320ba7b0202e,NormalFlow,09:00:11,7446.62753051581,6512.428626922848,C3,C3_4,32411,0.3,1.0,0.0352609308885754,0.457052,1.0,1,1,1.0,1
CNA_NBNA_2,6641.89,6026.68,-31606#0_0,25.2,car,b4bdc38e-7448-4c37-8d6f-7d4505a20b32,NormalFlow,09:00:12,6641.683634296426,6026.720967915928,C3,C3_2,32412,0.3,0.6,0.1777150916784202,0.365543,1.0,1,1,1.0,0
CNA_NBNA_1,11308.82,9844.57,-31622#0_0,77.3,car,c979a781-7cd7-4361-9363-69abcb1f8957,NormalFlow,09:00:13,11308.66195204172,9844.195581945614,E5,E5_4,32413,0.3,0.6,0.5451339915373765,0.439027,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10340.48,9241.93,-32278#1_0,14.4,bus,94e38a14-7665-4c65-a2c8-683258b95d1e,NormalFlow,09:00:14,10340.494281518992,9242.157043690451,E5,E5_2,32414,0.3,1.0,0.1015514809590973,0.47031,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7443.92,6511.58,-32924#0_0,11.0,bus,1f15c410-dbb7-4ac5-b7aa-1a9523ecd018,NormalFlow,09:00:15,7444.040987655614,6511.924297363834,C3,C3_4,32415,0.3,1.0,0.077574047954866,0.465515,1.0,1,1,1.0,0
CNA_NBNA_2,6648.42,6021.03,-31606#0_0,31.1,car,b8eba9fc-18d0-4477-b04d-db3d34657590,NormalFlow,09:00:16,6648.314436092943,6020.598509305395,C3,C3_2,32416,0.3,0.6,0.2193229901269393,0.373865,1.0,1,1,1.0,0
CNA_NBNA_1,11292.01,9829.0,-31622#0_0,82.3,car,9bf7d43f-661f-4256-bbdd-ec2bdc6667b0,NormalFlow,09:00:17,11291.79477105306,9829.283909164278,E5,E5_4,32417,0.3,0.6,0.580394922425952,0.446079,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10336.02,9237.89,-32278#1_0,21.8,bus,d110842c-416d-4d57-a486-ead16918c0f2,NormalFlow,09:00:18,10335.645522297093,9238.35445681552,E5,E5_2,32418,0.3,1.0,0.1537376586741889,0.480748,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7439.25,6511.09,-32924#0_0,17.2,bus,6f264c4c-7f90-4d85-8cba-23836cbfc493,NormalFlow,09:00:19,7439.238988300925,6510.622784207597,C3,C3_4,32419,0.3,1.0,0.1212976022566995,0.47426,1.0,1,1,1.0,0
CNA_NBNA_2,6656.42,6014.39,-31606#0_0,37.4,car,e2de5820-4f79-4c5a-80fc-76dba483aa56,NormalFlow,09:00:20,6655.945463300417,6014.06155907587,C3,C3_2,32420,0.3,0.6,0.2637517630465444,0.38275,1.0,1,1,1.0,0
CNA_NBNA_3,5616.47,7698.23,--32406#3_0,1.0,car,55918cbd-95f7-4d8a-8faf-02f718933c80,Traffic,09:00:21,5616.131076887376,7698.364862778146,B4,B4_2,32421,0.7,0.6,0.007052186177715,0.53141,1.0,1,1,1.0,1
CNA_NBNA_1,11274.35,9811.29,-31622#0_0,89.8,car,b4105c7d-f2f7-4734-9696-ba815f7ecd32,NormalFlow,09:00:22,11273.983441099865,9811.013962885112,E5,E5_4,32422,0.3,0.6,0.6332863187588151,0.456657,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10329.98,9232.67,-32278#1_0,28.8,bus,c8bfc463-9f95-42ca-8cf4-fe839dbfe096,NormalFlow,09:00:23,10329.52437984057,9232.597675448747,E5,E5_2,32423,0.3,1.0,0.2031029619181946,0.490621,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7432.64,6511.43,-32924#0_0,24.0,bus,13c2675d-4e9a-4a2d-b61f-14178508b7cc,NormalFlow,09:00:24,7432.329535521703,6511.600111953197,C3,C3_4,32424,0.3,1.0,0.1692524682651622,0.48385,1.0,1,1,1.0,0
CNA_NBNA_2,6666.01,6007.85,-31606#0_0,41.8,car,69362921-59c5-449a-bdd9-d7059ea749c0,NormalFlow,09:00:25,6666.375470838028,6007.4246083834,C3,C3_2,32425,0.3,0.6,0.2947813822284907,0.388956,1.0,1,1,1.0,0
CNA_NBNA_3,5614.77,7697.8,--32406#3_0,6.3,car,f77de6eb-45e1-4ecb-8db7-a1f0c9f3fc50,NormalFlow,09:00:26,5614.509064336164,7697.920726791239,B4,B4_2,32426,0.3,0.6,0.044428772919605,0.338886,1.0,1,1,1.0,1
CNA_NBNA_1,11255.53,9791.71,-31622#0_0,0.0,car,ec4d6ad9-e2d3-41d0-98b7-2f1567c1b30e,Accident,09:00:27,11255.221110294651,9791.260638856524,E5,E5_4,32427,1.0,0.6,0.0,0.68,1.0,1,1,1.0,1
NBSKMS_Nightbus_1,10322.35,9226.18,-32278#1_0,36.1,bus,0c53b937-f9b1-43e5-bef8-e5e843a10d7a,NormalFlow,09:00:28,10322.552411188251,9225.814560495632,E5,E5_2,32428,0.3,1.0,0.2545839210155148,0.500917,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7424.63,6511.85,-32924#0_0,29.1,bus,9ab921d0-9e07-459d-a159-347772b4f495,NormalFlow,09:00:29,7425.000910745436,6511.537690938537,C3,C3_4,32429,0.3,1.0,0.2052186177715091,0.491044,1.0,1,1,1.0,0
CNA_NBNA_2,6676.94,6001.76,-31606#0_0,45.4,car,359eea85-2aeb-4d4d-8528-97202ecf5bb4,NormalFlow,09:00:30,6676.9934056858565,6001.716742267955,C3,C3_2,32430,0.3,0.6,0.3201692524682651,0.394034,1.0,1,1,1.0,0
CNA_NBNA_3,5611.37,7696.92,--32406#3_0,12.7,car,7dec9e78-2ccf-49cd-87df-5b2c1aa1b145,NormalFlow,09:00:31,5611.272260290801,7696.87319495587,B4,B4_2,32431,0.3,0.6,0.0895627644569816,0.347913,1.0,1,1,1.0,0
CNA_NBNA_1,11236.68,9770.92,-31622#0-AddedOffRampEdge_1,102.3,car,6ea86407-9b21-47c8-b159-91af92d8ed73,NormalFlow,09:00:32,11236.865630179062,9770.92088994611,E5,E5_4,32432,0.3,0.6,0.7214386459802538,0.474288,1.0,1,1,1.0,0
CNA_NBNA_4,11368.4,9893.26,-31622#0_0,50.0,car,98712aa7-cea0-4273-907f-33bb840fa69e,NormalFlow,09:00:33,11368.511382784727,9893.702438641956,E5,E5_4,32433,0.3,0.6,0.3526093088857545,0.400522,1.0,1,1,1.0,1
NBSKMS_Nightbus_1,10313.49,9218.54,-32278#1_0,42.3,bus,d8592a5c-5539-427d-a3e9-65aa16b89810,NormalFlow,09:00:34,10313.978497279288,9218.722266061915,E5,E5_2,32434,0.3,1.0,0.2983074753173483,0.509661,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7414.54,6512.38,-32924#0_0,36.7,bus,9160412c-358d-4087-8d46-301a78c2cfc1,NormalFlow,09:00:35,7414.53413898849,6512.138321726259,C3,C3_4,32435,0.3,1.0,0.2588152327221438,0.501763,1.0,1,1,1.0,0
CNA_NBNA_2,6688.36,5997.65,-31606#0_0,43.7,car,529f9152-6dfc-4ccd-bb01-21c0aebf1470,NormalFlow,09:00:36,6688.750698622809,5997.36306596247,C3,C3_2,32436,0.3,0.6,0.3081805359661495,0.391636,1.0,1,1,1.0,0
CNA_NBNA_3,5606.22,7695.33,--32406#3_0,19.4,car,e62a5557-2670-4390-845d-f3fe078e8f6a,NormalFlow,09:00:37,5606.4568378894255,7695.555420868269,B4,B4_2,32437,0.3,0.6,0.1368124118476727,0.357362,1.0,1,1,1.0,0
CNA_NBNA_1,11217.93,9748.51,-31622#0-AddedOffRampEdge_1,105.1,car,e2272a1f-32a5-4d8a-b896-594be7e226f9,NormalFlow,09:00:38,11218.268088056697,9748.658719296443,E5,E5_4,32438,0.3,0.6,0.741184767277856,0.478237,1.0,1,1,1.0,0
CNA_NBNA_4,11356.01,9883.42,-31622#0_0,56.8,car,131e47f8-236b-4206-b575-678284d544ae,NormalFlow,09:00:39,11356.120253131778,9883.66021361709,E5,E5_4,32439,0.3,0.6,0.4005641748942171,0.410113,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10302.96,9209.37,-32278#1_0,50.4,bus,d3ccad4d-7ae6-4edd-9410-1c519664bc79,NormalFlow,09:00:40,10302.579637764926,9209.58001951187,E5,E5_2,32440,0.3,1.0,0.3554301833568405,0.521086,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7402.44,6513.01,-32924#0_0,44.0,bus,7b8882f9-89e1-48cf-a7ca-600babf67eea,NormalFlow,09:00:41,7402.411312496227,6512.669156522296,C3,C3_4,32441,0.3,1.0,0.310296191819464,0.512059,1.0,1,1,1.0,0
CNA_NBNA_2,6700.38,5995.04,-31606#0_0,44.6,car,f67cd1d3-e8a9-4f0d-9304-01b7d1743059,NormalFlow,09:00:42,6700.53905734506,5994.805311109354,C3,C3_2,32442,0.3,0.6,0.3145275035260931,0.392906,1.0,1,1,1.0,0
CNA_NBNA_3,5599.27,7693.15,--32406#3_0,26.2,car,588e6c13-11d7-496a-afdd-fda682932b9e,NormalFlow,09:00:43,5599.092953398548,7692.843532567037,B4,B4_2,32443,0.3,0.6,0.1847672778561354,0.366953,1.0,1,1,1.0,0
CNA_NBNA_1,11199.84,9725.34,-31622#0-AddedOffRampEdge_1,105.8,car,3486515e-7583-478a-a3a5-b35caacd910b,NormalFlow,09:00:44,11199.470653305974,9725.45944814231,E5,E5_4,32444,0.3,0.6,0.7461212976022567,0.479224,1.0,1,1,1.0,0
CNA_NBNA_4,11341.81,9872.15,-31622#0_0,65.1,car,bf71d7c4-a360-41e5-92fc-5668b660c2fc,NormalFlow,09:00:45,11341.324114290162,9872.493516396482,E5,E5_4,32445,0.3,0.6,0.4590973201692523,0.421819,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10293.5,9201.16,-32278#1_0,45.2,bus,08490328-17fa-44e4-838f-79df1e9d663e,NormalFlow,09:00:46,10293.541827149098,9201.434951621315,E5,E5_2,32446,0.3,1.0,0.3187588152327221,0.513752,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7394.52,6520.83,-32924#0_0,41.1,bus,924d3738-54ab-4d9c-9280-64b49d0651de,NormalFlow,09:00:47,7394.813313374904,6521.133770716468,C3,C3_4,32447,0.3,1.0,0.2898448519040902,0.507969,1.0,1,1,1.0,0
CNA_NBNA_2,6712.68,5993.81,-31606#0_0,44.5,car,5ed060bc-6da3-415b-9f20-a3a16aed821c,NormalFlow,09:00:48,6712.371892693281,5993.594252832676,C3,C3_2,32448,0.3,0.6,0.3138222849083215,0.392764,1.0,1,1,1.0,0
CNA_NBNA_3,5590.28,7690.32,--32406#3_0,33.9,car,698ad28a-5527-4d1a-9529-f7830520d8d0,NormalFlow,09:00:49,5590.626748802454,7690.773942778115,B4,B4_2,32449,0.3,0.6,0.2390691114245415,0.377814,1.0,1,1,1.0,0
CNA_NBNA_1,11182.08,9702.22,-31622#0-AddedOffRampEdge_1,104.9,car,b69d563c-504d-4732-97f5-cfeb5e6ad315,NormalFlow,09:00:50,11181.71090987506,9702.207242751816,E5,E5_4,32450,0.3,0.6,0.7397743300423131,0.477955,1.0,1,1,1.0,0
CNA_NBNA_4,11326.65,9859.82,-31622#0_0,70.2,car,cf25a7f7-22af-4863-a166-b437d1abbdc3,NormalFlow,09:00:51,11326.597462188416,9859.997810636503,E5,E5_4,32451,0.3,0.6,0.4950634696755994,0.429013,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10286.5,9195.05,-32278#1_0,33.5,bus,457cb276-698a-4916-94fc-37dca74939b3,NormalFlow,09:00:52,10286.144539220257,9194.700337990527,E5,E5_2,32452,0.3,1.0,0.2362482369534555,0.49725,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7387.08,6528.84,-32924#0_0,39.7,bus,dcfcf965-e98f-4f4e-9363-e3bb776046c3,NormalFlow,09:00:53,7387.25779089937,6529.081881939258,C3,C3_4,32453,0.3,1.0,0.2799717912552891,0.505994,1.0,1,1,1.0,0
CNA_NBNA_5,8005.73,5331.84,--31490_0,1.0,car,7fc23dde-057e-485d-9a8c-a709d708669a,Traffic,09:00:54,8005.805756413305,5332.2065562745,C3,C3_3,32454,0.7,0.6,0.007052186177715,0.53141,1.0,1,1,1.0,1
CNA_NBNA_2,6724.53,5992.86,-31606#0_0,42.9,car,25240a6a-779d-42ff-8f65-b26e7132cd12,NormalFlow,09:00:55,6724.630017176997,5992.851236557723,C3,C3_2,32455,0.3,0.6,0.3025387870239774,0.390508,1.0,1,1,1.0,0
CNA_NBNA_3,5579.25,7686.85,--32406#3_0,41.6,car,4c8a2285-2687-4d54-bf26-6831274f41e5,NormalFlow,09:00:56,5578.818168990715,7686.875106999224,B4,B4_2,32456,0.3,0.6,0.2933709449929478,0.388674,1.0,1,1,1.0,0
CNA_NBNA_1,11167.71,9677.65,-31622#1_0,0.0,car,0ece59f8-9707-4415-9208-7d6217455ef7,Accident,09:00:57,11167.311268835016,9677.23762334034,E5,E5_4,32457,1.0,0.6,0.0,0.68,1.0,1,1,1.0,0
CNA_NBNA_4,11310.53,9846.03,-31622#0_0,76.2,car,7c3cdf1c-07ec-4d2d-942d-56d7cb2102b6,NormalFlow,09:00:58,11310.613913976738,9846.222568403611,E5,E5_4,32458,0.3,0.6,0.5373765867418899,0.437475,1.0,1,1,1.0,0
CNA_NBNA_6,6943.84,1860.14,-30706#0_0,50.0,car,1fb6f920-211d-4d0c-b07a-740e9558eff5,NormalFlow,09:00:59,6943.739227063034,1860.5463309686256,C1,C1_1,32459,0.3,0.6,0.3526093088857545,0.400522,1.0,1,1,1.0,1
NBSKMS_Nightbus_1,10282.89,9191.88,-32278#1_0,17.3,bus,c587166b-d449-4fd9-bb14-20044f05b18f,NormalFlow,09:01:00,10283.038716297466,9191.633376828497,E5,E5_2,32460,0.3,1.0,0.122002820874471,0.474401,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7378.89,6537.65,-32924#0_0,43.7,bus,52bb41c7-67f0-4a7b-a83c-cb8371cb5dd4,NormalFlow,09:01:01,7378.557413846112,6537.55310526668,C3,C3_4,32461,0.3,1.0,0.3081805359661495,0.511636,1.0,1,1,1.0,0
CNA_NBNA_5,8005.18,5334.03,--31490_0,8.1,car,1e7bc54b-2e02-4f52-bcd5-da495e2bc3a1,NormalFlow,09:01:02,8005.541864618932,5333.726459732948,C3,C3_3,32462,0.3,0.6,0.0571227080394922,0.341425,1.0,1,1,1.0,1
CNA_NBNA_2,6736.63,5994.16,-31606#0_0,0.0,car,d52476d7-39e1-4349-a61d-3860d83bc0cb,Accident,09:01:03,6736.770558836096,5993.794644382973,C3,C3_2,32463,1.0,0.6,0.0,0.68,1.0,1,1,1.0,1
CNA_NBNA_3,5566.74,7682.91,--32406#3_0,47.2,car,57a6eb73-10bb-40ac-b966-accf58af937a,NormalFlow,09:01:04,5566.797020958084,7683.364927347264,B4,B4_2,32464,0.3,0.6,0.3328631875881523,0.396573,1.0,1,1,1.0,0
CNA_NBNA_1,11152.53,9652.34,-31622#1_0,105.8,car,8e99ff1f-99e5-40d7-b7b5-ab7dd38acb5a,NormalFlow,09:01:05,11152.927431258711,9652.365633423158,E5,E5_4,32465,0.3,0.6,0.7461212976022567,0.479224,1.0,1,1,1.0,0
CNA_NBNA_4,11293.75,9830.62,-31622#0_0,0.0,car,eec4cfe5-4c1c-434f-ba01-f4bdab0e8f96,Accident,09:01:06,11294.230588749428,9830.924327007408,E5,E5_4,32466,1.0,0.6,0.0,0.68,1.0,1,1,1.0,1
CNA_NBNA_6,6939.93,1875.07,-30706#0_0,55.5,car,ee24b40f-d0bd-4e0d-a4c0-cc64693e16ca,NormalFlow,09:01:07,6939.492600221392,1874.624544692178,C1,C1_1,32467,0.3,0.6,0.3913963328631875,0.408279,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10281.93,9191.04,-32278#1_0,4.6,bus,7ef9df44-0e76-44fe-b1f8-f019b426f2a4,Traffic,09:01:08,10281.555710850258,9191.022906888593,E5,E5_2,32468,0.7,1.0,0.0324400564174894,0.656488,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7371.69,6546.84,-32924#0_0,42.9,bus,98a6d9ff-4363-47d5-b64e-cb778f06a1b2,NormalFlow,09:01:09,7371.347692682489,6547.293804496302,C3,C3_4,32469,0.3,1.0,0.3025387870239774,0.510508,1.0,1,1,1.0,0
CNA_NBNA_5,8003.95,5339.01,--31490_0,18.5,car,372bb395-ec53-44ff-a167-78fe6ae04dab,NormalFlow,09:01:10,8004.063410813474,5338.796496416445,C3,C3_3,32470,0.3,0.6,0.1304654442877292,0.356093,1.0,1,1,1.0,0
CNA_NBNA_2,6747.39,5997.98,-31606#1_0,42.5,car,bb5a618e-9325-46a1-bd86-35cd00e7fcd9,NormalFlow,09:01:11,6747.547682121622,5998.139858298102,C3,C3_2,32471,0.3,0.6,0.2997179125528914,0.389944,1.0,1,1,1.0,0
CNA_NBNA_7,7658.03,6043.37,--32468#2_0,1.0,car,d6fbec9c-700e-4bc9-a032-03b98027c8aa,Traffic,09:01:12,7657.907059893865,6043.144077914591,C3,C3_4,32472,0.7,0.6,0.007052186177715,0.53141,1.0,1,1,1.0,1
CNA_NBNA_3,5554.66,7679.11,--32406#3_0,45.6,car,5d261d1d-d174-4373-80f5-c30b79468d36,NormalFlow,09:01:13,5554.746462654545,7678.714646959796,B4,B4_2,32473,0.3,0.6,0.3215796897038082,0.394316,1.0,1,1,1.0,0
CNA_NBNA_1,11138.22,9627.16,-31622#1_0,103.8,car,ed95430a-9528-44f3-adc8-fef3c0dab540,NormalFlow,09:01:14,11138.550948253607,9627.650758456495,E5,E5_4,32474,0.3,0.6,0.7320169252468265,0.476403,1.0,1,1,1.0,0
CNA_NBNA_4,11276.23,9813.24,-31622#0_0,88.6,car,ead28bce-871e-4a6c-9318-fe923020d535,NormalFlow,09:01:15,11276.066098854246,9813.692006229916,E5,E5_4,32475,0.3,0.6,0.624823695345557,0.454965,1.0,1,1,1.0,0
CNA_NBNA_8,11368.01,9892.95,-31622#0_0,50.0,car,d9de1b9f-eb52-4dfd-8094-c78a1b982e2e,NormalFlow,09:01:16,11368.509649645986,9893.397194508589,E5,E5_4,32476,0.3,0.6,0.3526093088857545,0.400522,1.0,1,1,1.0,1
CNA_NBNA_6,6935.29,1892.78,-30706#0_0,65.9,car,28902312-73b2-49d5-8b82-9723b66457b1,NormalFlow,09:01:17,6935.046605653918,1892.464420696521,C1,C1_1,32477,0.3,0.6,0.4647390691114245,0.422948,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10281.9,9191.01,-32278#1_0,1.0,bus,90ec1176-0cf4-4c7b-bc7f-28751878b5c5,Traffic,09:01:18,10281.9141036062,9191.194762449337,E5,E5_2,32478,0.7,1.0,0.007052186177715,0.65141,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7367.32,6557.49,-32924#0_0,41.8,bus,76431553-a107-4cbd-8bd3-14fb9fd97338,NormalFlow,09:01:19,7367.7450029476495,6557.825272495869,C3,C3_4,32479,0.3,1.0,0.2947813822284907,0.508956,1.0,1,1,1.0,0
CNA_NBNA_5,8002.33,5345.53,--31490_0,24.2,car,1eadebae-08d1-4d98-bc7b-9d41ae4f981d,NormalFlow,09:01:20,8002.193129499557,5345.939117007227,C3,C3_3,32480,0.3,0.6,0.1706629055007052,0.364133,1.0,1,1,1.0,0
CNA_NBNA_9,10518.13,9706.68,-32340#7_0,1.0,car,2a293386-a6f0-4a0a-ae69-eb63fae00133,Traffic,09:01:21,10518.606476714454,9706.851692256634,E5,E5_2,32481,0.7,0.6,0.007052186177715,0.53141,1.0,1,1,1.0,1
CNA_NBNA_2,6754.97,6006.7,-31606#1_0,42.1,car,386bb98e-d936-43ac-92e4-b09765b3a8da,NormalFlow,09:01:22,6754.628656515634,6006.7816987461965,C3,C3_2,32482,0.3,0.6,0.2968970380818053,0.389379,1.0,1,1,1.0,0
CNA_NBNA_7,7658.47,6045.23,--32468#2_0,6.9,car,99864b5d-58a8-41a3-a56d-433d09c3bb42,NormalFlow,09:01:23,7658.534257088742,6045.598458042833,C3,C3_4,32483,0.3,0.6,0.0486600846262341,0.339732,1.0,1,1,1.0,1
CNA_NBNA_3,5541.18,7676.72,--32406#2_0,49.5,car,663d0b30-9d16-4491-85ba-26cf5d50c96a,NormalFlow,09:01:24,5540.992629336355,7677.014914260464,B4,B4_2,32484,0.3,0.6,0.349083215796897,0.399817,1.0,1,1,1.0,0
CNA_NBNA_1,11124.26,9600.69,-31622#1_0,107.4,car,98e4eaf8-541f-495e-b065-fbb484d12b40,NormalFlow,09:01:25,11123.879132150216,9600.883025747047,E5,E5_4,32485,0.3,0.6,0.7574047954866008,0.481481,1.0,1,1,1.0,0
CNA_NBNA_4,11257.64,9793.91,-31622#0_0,96.3,car,b56cd2d1-d17b-40c7-bff8-d1ebfe09999e,NormalFlow,09:01:26,11257.819575417076,9793.469122069704,E5,E5_4,32486,0.3,0.6,0.6791255289139633,0.465825,1.0,1,1,1.0,0
CNA_NBNA_8,11355.07,9882.68,-31622#0_0,59.3,car,31ec10d7-64be-4a1f-bda3-dc6471deae6c,NormalFlow,09:01:27,11355.068100454802,9882.462894322483,E5,E5_4,32487,0.3,0.6,0.4181946403385049,0.413639,1.0,1,1,1.0,0
CNA_NBNA_10,11368.4,9893.26,-31622#0_0,50.0,car,45669e9e-0b7f-4f0d-9277-7ad7d9d72b73,NormalFlow,09:01:28,11368.564864704473,9893.262936223571,E5,E5_4,32488,0.3,0.6,0.3526093088857545,0.400522,1.0,1,1,1.0,1
CNA_NBNA_6,6929.99,1913.03,-30706#0_0,75.3,car,852f72a2-e49e-44eb-a1bf-b828193be366,NormalFlow,09:01:29,6929.782078077444,1912.7523460695984,C1,C1_1,32489,0.3,0.6,0.5310296191819464,0.436206,1.0,1,1,1.0,0
NBSKMS_Nightbus_1,10281.9,9191.01,-32278#1_0,1.0,bus,9196c8d3-f8c0-40bc-b441-4732dd5b33ea,Traffic,09:01:30,10282.286343256432,9191.145428090604,E5,E5_2,32490,0.7,1.0,0.007052186177715,0.65141,1.0,1,1,1.0,0
NBSKMS_Nightbus_2,7362.93,6568.19,-32924#0_0,42.0,bus,f00167f9-477d-4511-bb11-d783bd038d6a,NormalFlow,09:01:31,7362.75022601669,6568.5203737628535,C3,C3_4,32491,0.3,1.0,0.2961918194640338,0.509238,1.0,1,1,1.0,0
CNA_NBNA_5,8000.04,5354.72,--31490_0,34.1,car,a5fcf290-0092-412f-842c-1f799877d72b,NormalFlow,09:01:32,7999.585452050949,5354.354577623155,C3,C3_3,32492,0.3,0.6,0.2404795486600846,0.378096,1.0,1,1,1.0,0
CNA_NBNA_9,10519.39,9706.1,-32340#7_0,5.0,car,13a1a84e-e1ae-429e-9a2a-befda716ac9f,NormalFlow,09:01:33,10519.443026984774,9706.403518676334,E5,E5_2,32493,0.3,0.6,0.0352609308885754,0.337052,1.0,1,1,1.0,1
CNA_NBNA_2,6760.58,6017.25,-31606#1_0,43.1,car,7fc4ee24-3f8c-421a-9f16-2de4855556fd,NormalFlow,09:01:34,6760.219512229762,6016.875326504815,C3,C3_2,32494,0.3,0.6,0.3039492242595204,0.39079,1.0,1,1,1.0,0
CNA_NBNA_7,7659.3,6048.75,--32468#2_0,13.1,car,7c9587c1-9c90-47b7-8335-9b8bec96b80c,NormalFlow,09:01:35,7659.674338541766,6048.593550680459,C3,C3_4,32495,0.3,0.6,0.0923836389280677,0.348477,1.0,1,1,1.0,0
CNA_NBNA_3,5528.58,7675.75,--32406#2_0,45.5,car,4aad35c1-2e36-454a-aac4-28f328d68c6d,NormalFlow,09:01:36,5528.751775521005,7676.227025467841,B4,B4_2,32496,0.3,0.6,0.3208744710860366,0.394175,1.0,1,1,1.0,0
CNA_NBNA_1,11112.01,9573.82,-31622#1_0,105.9,car,9348c38a-bab4-4109-916c-91c33d9e3711,NormalFlow,09:01:37,11112.470816360736,9573.760393977343,E5,E5_4,32497,0.3,0.6,0.7468265162200282,0.479365,1.0,1,1,1.0,0
CNA_NBNA_4,11238.5,9773.09,-31622#0-AddedOffRampEdge_1,103.1,car,c5d1d4fc-fc8b-4d6e-b932-91703c61e9d6,NormalFlow,09:01:38,11238.146357291089,9772.851530536684,E5,E5_4,32498,0.3,0.6,0.7270803949224258,0.475416,1.0,1,1,1.0,0
